vernacular_name,scientific_name,used_parts,harvest,preservation,desease,GBIF,GBIF_id
Chamomile (EN); Camomilla volgare (IT);,Matricaria chamomilla,Flowers;,"Harvest between May and June, preferably at the start of flowering and early in the morning","Dry in the shade and in the open air: store in glass, paper or wooden containers",To regulate menstrual cycle; Dysmenorrhea; Amenorrhea;    ,https://www.gbif.org/species/8370958,8370958
Consolida,Symphytum officinale,Radice;,,,Pirosi;,https://www.gbif.org/species/7558421,7558421
Liquirizia,Glycyrrhiza glabra,Radice;,"Il rizoma (di una pianta che ha superato il 3° anno di età), andrà raccolto nel tardo autunno","Le radici, pulite e mondate, dovranno essere fatte essiccare all'ombra, e conservate in fascetti al riparo dall'umidità",Pirosi;,https://www.gbif.org/species/2965732,2965732
Melissa (IT);,Melissa officinalis,Flowers; Flowering tops;,Harvest the flowering tops at the start of flowering and shortly after the leaves appear,"Dry quickly in a well-ventilated, dry place, away from direct sunlight, and store in sealed containers away from light, dust and moisture. Replace your stock annually.",Dismenorrea;,https://www.gbif.org/species/5341501,5341501
Verbena odorosa,Aloysia citrodora,Foglie; ,,,Pirosi;,https://www.gbif.org/species/5667503,5667503
Achillea millefoglie (IT);,Achillea millefolium,Flowering tops;,"Harvest throughout the summer, from May to September",Dry in the shade in a well-ventilated place and store in containers away from moisture,Dismenorrea;,https://www.gbif.org/species/3120060,3120060
Wormwood (EN); Assenzio (IT);,Artemisia absinthium,Leaves; Flowering tops;,"Harvest during the flowering season, from June to September","Hang them in bunches to dry in the shade and store them in a cool, dry place",Dismenorrea; Amenorrhea;        ,https://www.gbif.org/species/3121319,3121319
Borsa del Pastore (IT);,Capsella bursa-pastoris,Plant;,,,Dismenorrea;,https://www.gbif.org/species/5375388,5375388
Calendula (IT);,Calendula officinalis,Flowers;,"Harvest the flowers before they are fully open, preferably in the morning","Dry in a dry, well-ventilated place, taking care not to expose the flower heads to direct sunlight, and store in wooden or cardboard boxes",Dismenorrea;,https://www.gbif.org/species/5391480,5391480
Luppolo (IT);,Humulus lupulus,Flowers;,Harvest the flowers (female inflorescences) from summer through to autumn,Dry in the shade and store in airtight containers,Dismenorrea;,https://www.gbif.org/species/2984535,2984535
Salvia (IT);,Salvia officinalis,Leaves; Flowering tops;,"The flowering tops are harvested from May to August, and the leaves from April to July",Dry the parts in the shade and store them in containers away from light and moisture,Dismenorrea;,https://www.gbif.org/species/2927004,2927004
Elderberry (EN); Ebolo (IT);,Sambucus nigra,Roots;,,,Amenorrhea;,https://www.gbif.org/species/2888728,2888728
Celery (EN); Sedano (IT);,Apium graveolens,Roots; Fruits; Flowers; Leaves;,Harvest the flowers at the start of flowering or during flowering; harvest the roots and fruits from autumn to spring,"Dry the flowers in the shade and store them in sealed containers. Dry the roots in the sun and store them in glass jars. Dry the fruits, crush them and sieve them, taking care to store them in glass jars",Menorrhagia; To regulate menstrual cycle;,https://www.gbif.org/species/5371879,5371879
Parsley (EN); Prezzemolo (IT);,Petroselinum crispum (Mill.),Roots; Leaves; Fruits;,Harvest the leaves in late spring. Harvest the roots and seeds in early autumn,"Dry the roots and leaves in the shade, taking care to store them separately: use airtight containers for the roots and canvas or paper bags for the leaves. Then dry the seeds by placing them in direct sunlight. Keep all parts in a dry place",Amenorrhea; To regulate menstrual cycle;,https://www.gbif.org/species/7828157,7828157
Common mallow (EN); Malva (IT);,Malva sylvestris,Leaves; Flowers;,Harvest the flowers just before they are fully open; harvest the leaves whilst they are in bloom,"Dry in the shade immediately after harvesting and store in sealed containers, protected from air and moisture",To regulate menstrual cycle; Amenorrhea;        ,https://www.gbif.org/species/3152374,3152374
Lettuce (EN); Lattuga (IT);,Lactuca sativa,Roots; Leaves; Flowers;,,,To regulate menstrual cycle;,https://www.gbif.org/species/7403263,7403263
Blue daisy (EN); Cicoria (IT);,Cichorium intybus,Plant;,"Harvest the roots in autumn, and the leaves and flowers before they bloom",Cut the root lengthways and dry it in the sun. Leave the leaves and flowers to dry in the shade and store them in plastic bags,To regulate menstrual cycle;,https://www.gbif.org/species/5392252,5392252
Fennel (EN); Finocchio (IT);,Foeniculum vulgare Mill.,Roots; Leaves; Fruits; Seeds;,"Harvest the roots in autumn, taking care to discard any that have become woody. The leaves should be harvested in summer, before flowering, and the fruits should be picked before they ripen","The roots can be sun-dried and stored in dust-proof bags, whilst the leaves and seeds, which have been dried in the shade and in the open air, can be stored in wooden or cardboard containers",To regulate menstrual cycle;,https://www.gbif.org/species/3034922,3034922
Anise (EN); Anice verde(IT);,Pimpinella anisum,Fruits; Seeds;,"The falling of the seeds from the central umbel, which is the first to flower and whose fruits are the most fragrant, determines the harvest date","The seeds should be dried in the shade or in the sun, and then shelled. It is recommended to store them in containers in a dry place",Amenorrhea;        ,https://www.gbif.org/species/8080300,8080300
Oleander (EN); Oleandro (IT);,Nerium oleander,Leafs;,"Harvest the leaves during the summer, before the plants come into full bloom","Harvest the leaves during the summer, before the plants come into full bloom",Amenorrhea;        ,https://www.gbif.org/species/3169756,3169756
Common Ivy (EN); Edera (IT);,Hedera helix,Leafs; Flowers;,Harvest at any time of year,Harvest at any time of year,To regulate menstrual cycle;,https://www.gbif.org/species/8351737,8351737
Southern Wormwood (EN); Abrotano (IT);,Artemisia abrotanum,,,,Amenorrhea;        ,https://www.gbif.org/species/8042568,8042568
