vernacular_name,scientific_name,used_parts,harvest,preservation,desease,GBIF,GBIF_id,theferns,hazards,habitat,habit,cultivation,edible,others,agroforestry,propagation
Chamomile (EN); Camomilla volgare (IT);,Matricaria chamomilla,Flowers;,"Harvest between May and June, preferably at the start of flowering and early in the morning","Dry in the shade and in the open air: store in glass, paper or wooden containers",To regulate menstrual cycle; Dysmenorrhea; Amenorrhea;    ,https://www.gbif.org/species/8370958,8370958,https://temperate.theferns.info/viewtropical.php?id=Matricaria+chamomilla,"Individuals allergic to ragweeds (Ambrosia spp.) or with known sensitivity to other members of the Compositae family should avoid contact with German camomile and its products. Camomile hypersensitivity is rare, however.","preferring sunny sites (slightly shaded sites are tolerated) and found on wasteland, roadsides and fields",annual,"It grows best in areas where annual daytime temperatures are within the range 19 - 25°c, but can tolerate 6 - 30°c. When dormant, the plant can survive temperatures down to about -5°c, but young growth can be severely damaged at 0°c. It prefers a mean annual rainfall in the range 700 - 1,000mm, but tolerates 300 - 1,300mm. An easily grown plant, it succeeds in any well-drained soil in a sunny position and can tolerate light shade.  It prefers neutral to slightly acid conditions and succeeds in poor soils and moderately saline conditions. Prefers a pH in the range 5.5 - 6.5, tolerating 5 - 7. It usually self-sows freely when well-sited.","The young sprigs are sometimes used as a seasoning. The dried flowers are used to make herb teas.","It is also used as a liquid feed and general plant tonic, effective against a number of plant diseases. The whole plant is very aromatic and was formerly used as a strewing herb. The whole plant is insect repellent. Freshly distilled essential oil is blue, but exposed to light and air it gradually changes to green and finally brown. It has a strong characteristic odour and a bitter aromatic flavour. The constituents of the oil include sesquiterpenes, flavonoids and azulenes. Yellow to gold dyes are obtained from the flowers.",,"Seed - sow spring or autumn in situ. Germination should take place within 3 weeks."
Comfrey (EN); Consolida (IT);,Symphytum officinale,Radice;,,,Pirosi;,https://www.gbif.org/species/7558421,7558421,https://temperate.theferns.info/viewtropical.php?id=Symphytum+officinale,"This plant contains small quantities of a toxic alkaloid which can have a cumulative effect upon the liver. Largest concentrations are found in the roots, leaves contain higher quantities of the alkaloid as they grow older and young leaves contain almost none. Most people would have to consume very large quantities of the plant in order to do any harm, though anyone with liver problems should obviously be more cautious. In general, the health-promoting properties of the plant probably far outweigh any possible disbenefits, especially if only the younger leaves are used.","Damp, often shady localities, in meadows, woods etc, especially near streams and rivers.",perennial,"Symphytum officinale is a fairly cold-hardy plant, tolerating temperatures down to about -20°c. Tolerates most soils and situations but prefers a moist soil and some shade. Grows well in heavy clay soils. Best grown in an open sunny site in a deep rich soil if it is being grown for compost material. Plants can be invasive, often spreading freely by means of self-sown seed. The root system is very deep and difficult to eradicate, even small fragments of root left in the soil can produce new plants.","Young leaves - cooked or raw. The leaf is hairy and the texture is mucilaginous. It may be full of minerals but it is not pleasant eating for most tastes. It can be chopped up finely and added to salads, in this way the hairiness is not so obvious. Young shoots can be used as an asparagus substitute. Older leaves can be dried and used as a tea. The peeled roots are cut up and added to soups. A tea is made from the dried leaves and roots. The roasted roots are used with dandelion and chicory roots for making coffee.","The plant grows very quickly, producing a lot of bulk. It is tolerant of being cut several times a year and can be used to provide 'instant compost' for crops such as potatoes. Simply layer the wilted leaves at the bottom of the potato trench or apply them as a mulch in no-dig gardens. A liquid feed can be obtained by soaking the leaves in a small amount of water for a week, excellent for potassium demanding crops such as tomatoes. The leaves are also a very valuable addition to the compost heap.","A gum obtained from the roots was at one time used in the treatment of wool before it was spun","Seed - sow spring or autumn in a cold frame. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. If you have sufficient seed you can try an outdoor sowing in situ in the spring. Division succeeds at almost any time of the year. Simply use a spade to chop off the top 7cm of root just below the soil level. The original root will regrow and you will have a number of root tops, each of which will make a new plant. These can either be potted up or planted out straight into their permanent positions."
Liquorice (EN); Liquirizia (IT);,Glycyrrhiza glabra,Radice;,"Il rizoma (di una pianta che ha superato il 3° anno di età), andrà raccolto nel tardo autunno","Le radici, pulite e mondate, dovranno essere fatte essiccare all'ombra, e conservate in fascetti al riparo dall'umidità",Pirosi;,https://www.gbif.org/species/2965732,2965732,https://temperate.theferns.info/viewtropical.php?id=Glycyrrhiza+glabra,"A gross overdose of the root can cause oedema, high blood pressure and congestive heart failure.","Dry open places, especially in sandy places. Margins of farms, roadsides, saline areas.",perennial,"Requires a deep well cultivated fertile moisture-retentive soil for good root production. Prefers a sandy soil with abundant moisture and does not flourish in clay. Prefers a pH in the range 6.5 - 7.5, tolerating 5.5 - 8.2. Slightly alkaline conditions produce the best plants. The plant thrives in a maritime climate and can tolerate moderate levels of soil salinity. Unless seed is required, the plant is usually prevented from flowering so that it puts more energy into producing good quality roots. Plants are slow to settle in and do not produce much growth in their first two years after being moved. The young growth is also very susceptible to damage by slugs and so the plant will require some protection for its first few years. A fairly deep-rooting plant, the roots are up to 120cm long. It can be difficult to eradicate once it is established.", "Root - raw or used as a flavouring. The source of liquorice powder that is extracted and used in sweets, baked goods, ice cream, soft drinks etc. The dried root is often used for chewing, it is excellent for teething children and also as a tooth cleaner. A tea made from the roots is an excellent thirst quencher.  The powdered root is also used as a sweetener in other herb teas.","Extracts from the root are used as a foaming agent in beers and fire extinguishers. A fibre obtained from the roots is used for insulation, wallboard, boxboard etc. The fibres can be used after the medicinal and flavouring constituents of the root have been removed.",,"Pre-soak the seed for 24 hours in warm water and then sow spring or autumn in a greenhouse. Prick out the seedlings into individual pots when they are large enough to handle, and grow them on for their first winter in a greenhouse. Plant out in late spring or early summer when in active growth. Plants are rather slow to grow from seed. Division of the root in spring or autumn. Each division must have at least one growth bud. Autumn divisions can either be replanted immediately or stored in clamps until the spring and then be planted out.  It is best to pt up the smaller divisions and grow them on in a cold frame until they are established before planting them out in the spring or summer."
Lemon Balm (EN); Melissa (IT);,Melissa officinalis,Flowers; Flowering tops;,Harvest the flowering tops at the start of flowering and shortly after the leaves appear,"Dry quickly in a well-ventilated, dry place, away from direct sunlight, and store in sealed containers away from light, dust and moisture. Replace your stock annually.",Dismenorrea;,https://www.gbif.org/species/5341501,5341501,https://temperate.theferns.info/viewtropical.php?id=Melissa+officinalis,,"Waste places and derelict land near human habitations",perennial,"It succeeds in any well-drained soil in a sunny sheltered position. t prefers a light rich moist soil, a warm position and partial shade. Once established, this is a drought tolerant species, it is a useful plant to try in difficult dry places, usually succeeding in the dustiest of soils once it is established. Plants can often self-sow. If the plants are cut back hard after flowering, they will produce a fresh flush of leaves. Members of this genus are rarely if ever troubled by browsing deer or rabbits. A good bee plant. A good companion plant, especially for brassicas.","Leaves - raw or cooked. A pleasant lemon-like aroma and flavour, they are used mainly as a flavouring in salads and cooked foods. A lemon-flavoured tea can be made from the fresh or dried leaves. A bunch of the leaves can be added to china tea, much improving the flavour, the leaves are also added to fruit cups etc. ","The growing plant is said to repel flies and ants.  It is also rubbed on the skin as a repellent,  though the essential oil would be more effective here. An essential oil is obtained from the plant. The whole plant is very pleasantly aromatic, the aroma lasting for a long time after the plant has been harvested.","Makes a good companion for cabbages and tomatoes, its aromatic nature helping to repel insect pests.","Seed - sow spring or autumn in a cold frame. Germination can be slow. Prick out the seedlings into individual pots as soon as they are large enough to handle and plant out into their permanent positions when the plants are at least 15cm tall. If there is plenty of seed it can be sown in an outdoor seed bed in mid spring. Plant out into their permanent positions the following spring. Division in spring or autumn. Very easy, larger clumps can be replanted direct into their permanent positions, though it is best to pot up smaller clumps and grow them on in a cold frame until they are rooting well. Plant them out in the spring."
Lemon Verbena (EN); Verbena odorosa (IT);,Aloysia citrodora,Foglie; ,,,Pirosi;,https://www.gbif.org/species/5667503,5667503,https://temperate.theferns.info/viewtropical.php?id=Aloysia+citrodora,"The essential oil from the plant might sensitise the skin to sunlight.","Fields and roadsides. Open scrub.",dedicious shrub,"It grows best in areas where annual daytime temperatures are within the range 18 - 28°c, but can tolerate 14 - 33°c. Mature, dormant plants can be killed by temperatures of -12°c or lower, although new growth will be badly damaged at 0°c. It prefers a mean annual rainfall in the range 600 - 1,800mm, but tolerates 500 - 1,000mm. It can be cut back to ground level in a cold winter, but will then usually resprout from the base in late spring or early summer. Giving the roots a good, thick organic mulch will confer extra protection from winter cold. Requires a sunny sheltered position.  Succeeds in most moderately fertile soils if they are well-drained. Prefers a light soil. Prefers a pH in the range 5.5 - 7, tolerating 5 - 7.5. Any pruning is best carried out in the spring. his species is notably resistant to honey fungus","Leaves - occasionally cooked as a spinach, but more commonly used as a flavouring in salads, fruit salads etc. A delicious and refreshing tea is made from the leaves. The dried leaves will retain their lemon aroma for many years.",,"The growing plant repels midges, flies and other insects","Seed - we have no information for this species but suggest sowing the seed in a greenhouse in late spring. Only just cover the seed and keep in a light position, making sure the compost does not dry out. When large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out in early summer and give some protection from the cold for at least their first winter outdoors. Cuttings of softwood, late spring/early summer in a frame. Grow on for at least their first winter in a greenhouse and plant out in late spring after the last expected frosts. The cuttings root quickly and easily, though there can be losses in the first winter. Cuttings of half-ripe wood, August in a frame. Grow on for at least their first winter in a greenhouse and plant out in late spring after the last expected frosts. The cuttings root quickly and easily, though there can be losses in the first winter."
Yarrow (EN); Achillea millefoglie (IT);,Achillea millefolium,Flowering tops;,"Harvest throughout the summer, from May to September",Dry in the shade in a well-ventilated place and store in containers away from moisture,Dismenorrea;,https://www.gbif.org/species/3120060,3120060,https://temperate.theferns.info/viewtropical.php?id=Achillea+millefolium,"Extended use of this plant, either medicinally or in the diet, can cause allergic skin rashes or lead to photosensitivity in some people.","Meadows, pastures, lawns, waste ground etc., on all but the poorest soils",perennial,"A very hardy plant, tolerating temperatures down to about -25°c. Succeeds in most soils and situations but prefers a well-drained soil in a sunny position. Shade tolerant. Plants live longer when grown in a poor soil and also do well on lime. Established plants are very drought tolerant,  they can show distress in very severe droughts but usually recover.  It remains green after grass has turned brown in a drought. Plants succeed in maritime gardens. The plant has a very spreading root system and is usually quite invasive.","Leaves - raw or cooked. A rather bitter flavour, they make an acceptable addition to mixed salads and are best used when young. The leaves are also used as a hop-substitute for flavouring and as a preservative for beer etc. An aromatic tea is made from the flowers and leaves.","The growing plant repels beetles, ants and flies.  The plant has been burnt in order to ward off mosquitoes. A liquid plant feed can be made from the leaves. You fill a container with the leaves and then add some water. Leave it to soak for a week or two and then dilute the rather smelly dark liquid, perhaps 10 - 1 with water though this figure is not crucial. This plant is an essential ingredient of 'Quick Return' herbal compost activator. This is a dried and powdered mixture of several herbs that can be added to a compost heap in order to speed up bacterial activity and thus shorten the time needed to make the compost. Yellow and green dyes are obtained from the flowers.","A good ground cover plant, spreading quickly by its roots. Yarrow is an excellent plant for growing in lawns, meadows, orchards etc., it is tolerant of repeated close cutting and of being walked on. It works to improve the soil fertility.  A very good companion plant, it improves the health of plants growing nearby and enhances their essential oil content thus making them more resistant to insect predations. A good bee plant, it is an important nectar source for many insects.","Seed - sow spring or early autumn in a cold frame. The seed usually germinates in 1 - 3 months.  When large enough to handle, prick the seedlings out into individual pots and plant them out in the summer. Division in spring or autumn. Very easy, the divisions can be planted direct into their permanent positions. Divisions succeed at any time of the year. Basal cuttings of new shoots in spring. Very easy, collect the shoots when they are about 10cm tall, potting them up individually in pots and keeping them in a warm but lightly shaded position. They should root within 3 weeks and will be ready to plant out in the summer."
Wormwood (EN); Assenzio (IT);,Artemisia absinthium,Leaves; Flowering tops;,"Harvest during the flowering season, from June to September","Hang them in bunches to dry in the shade and store them in a cool, dry place",Dismenorrea; Amenorrhea;        ,https://www.gbif.org/species/3121319,3121319,https://temperate.theferns.info/viewtropical.php?id=Artemisia+absinthium,"The essential oil in this plant contains thujone. Side effects from consuming thujone can include sleeplessness and anxiety but, unless the pure essential oil is used, the quantity of thujone found in plants is well within safety levels. Pregnant women, however, may be advised to restrict their use of thujone-containing plants. The plant is poisonous if used in large quantities. Just the scent of the plant has been known to cause headaches and nervousness in some people.","Waste land, rocks and screes.",perennial,"Succeeds in any soil but it is best in a poor dry one with a warm aspect. Established plants are very drought tolerant. Plants are longer lived, more hardy and more aromatic when they are grown in a poor dry soil. Easily grown in a well-drained circumneutral or slightly alkaline loamy soil, preferring a sunny position. Tolerates a pH in the range 4.8 to 8.2. Volatile emanations from its leaves completely prevented germination in wheat, and inhibited seedling growth in wheat, hoary cress and common flax, whereas seedling growth on white mustard was markedly stimulated. Extracts made from the leaves prevent germination on all the above species, and extracts of roots prevented germination of wheat and reduced root and shoot elongation in hoary cress, common flax and white mustard by 53 - 85%.","Leaves are occasionally used as a flavouring.","The fresh or dried shoots are said to repel insects and mice,  they have been laid amongst clothing to repel moths and have also been used as a strewing herb. An infusion of the plant is said to discourage slugs and insects. The plant contains substances called sesquiterpene lactones, these are strongly insecticidal.","The growing plant is said to inhibit the growth of fennel, sage, caraway, anise and most young plants, especially in wet years. Wormwood is a good companion for carrots, however, helping to protect them from root fly.","Seed - surface sow from late winter to early summer in a greenhouse. The seed usually germinates within 2 - 26 weeks at 15°c.  When they are large enough to handle, prick the seedlings out into individual pots. They can be planted out in the summer, or kept in pots in a cold frame for the winter and then planted out in the spring. Cuttings of half-ripe wood, mid summer in a frame. Division in spring or autumn."
Shepherd's Purse (EN); Borsa del Pastore (IT);,Capsella bursa-pastoris,Plant;,,,Dismenorrea;,https://www.gbif.org/species/5375388,5375388,https://temperate.theferns.info/viewtropical.php?id=Capsella+bursa-pastoris,,"Arable land, gardens, waste places etc, it is a common weed of cultivated soil and can even be found growing in situations such as cracks in pavements",annual,"Prefers a sunny position. Plants flourish in most soils from clays to sandy loams, but dislikes wet conditions.  They will grow even in the poorest of soils, though in such a situation the plants might only reach a few centimetres tall before they flower and set seed. In rich soils plants will take longer to go to seed and will grow up to 60cm tall. Tolerates a pH in the range 5 - 8. The leaves grow rather larger under cultivation, they can be harvested about a month after sowing and can be treated as a cut and come again crop. They do run to seed fairly rapidly, however, especially in hot dry weather or when in poor soils.","Leaves - raw or cooked. The young leaves, used before the plant comes into flower, make a fine addition to salads.  The leaves are a cress and cabbage substitute, becoming peppery with age. Leaves are usually available all year round, though they can also be dried for later use. The young flowering shoots can be eaten raw or cooked. They are rather thin and fiddly but the taste is quite acceptable. They can be available at most times of the year. Seed - raw or cooked.  It can be ground into a meal and used in soups etc.  It is very fiddly to harvest and utilize, the seed is very small. The fresh or dried root is a ginger substitute.","The seed, when placed in water, attracts mosquitoes. It has a gummy substance that binds the insects mouth to the seed. The seed also releases a substance toxic to the larvae. ½ kilo of seed is said to be able to kill 10 million larvae.","Plants can be grown on salty or marshy land in order to reclaim it by absorbing the salt and 'sweetening' the soil","Seed - sow in situ late winter to May. Seed can also be sown as late as mid autumn. The seed germinates best at temperatures between 5 - 30°c. Fresh seed is usually dormant, but the dormancy is broken by temperatures below 15°c. The seed can remain dormant and viable for many years in the soil. A common weed of disturbed ground, the plant does not normally need any help to maintain itself."
Pot Marigold (EN); Calendula (IT);,Calendula officinalis,Flowers;,"Harvest the flowers before they are fully open, preferably in the morning","Dry in a dry, well-ventilated place, taking care not to expose the flower heads to direct sunlight, and store in wooden or cardboard boxes",Dismenorrea;,https://www.gbif.org/species/5391480,5391480,https://temperate.theferns.info/viewtropical.php?id=Calendula+officinalis,,"Waste, cultivated and arable land and along roadsides",annual," It grows best in areas where annual daytime temperatures are within the range 16 - 26°c, but can tolerate 8 - 30°c.  It prefers a mean annual rainfall in the range 500 - 800mm, but tolerates 300 - 2,500mm. An easily grown plant, it succeeds in any well-drained soil, hough it prefers a good loam and requires a sunny or at least partially sunny position. Plants flower best when they are grown in a poor soil. Prefers a pH in the range 5.5 - 7, tolerating 4.5 - 8.3. The flowers are sensitive to variations in temperature and dampness, closing when it is dark and when rain is expected. All parts of the plant are pungently scented.","Leaves - raw. When eaten they first of all impart a viscid sweetness, followed by a strong penetrating taste of a saline nature. Fresh petals are chopped and added to salads. The dried petals have a more concentrated flavour and are used as a seasoning in soups, cakes etc. High in vitamins A and C. An edible yellow dye is obtained from the petals. A tea is made from the petals and flowers, that made from the petals is less bitter.","The flowers are an alternative ingredient of 'Quick Return' compost activator. This is a dried and powdered mixture of several herbs that can be added to a compost heap in order to speed up bacterial activity and thus shorten the time needed to make the compost. A yellow dye is obtained from the boiled flowers. An essential oil is obtained from the plant.  It is used rather sparingly, in view of the difficulty in obtaining it, in perfumes that have a rather sharp tang. The flowers close when wet weather is likely to occur and they can therefore be used as a rough means of weather forecasting.","The growing plant acts as an insect deterrent,  it reduces the soil eelworm population. The growing plant attracts hoverflies to the garden, the young of which are fairly efficient eaters of aphids. The flowers are attractive to bees. Marigolds are good companion plants, they grow well with tomatoes. Cucumber mosaic disease and powdery mildew can cause problems with this plant.","Seed - sow in situ from spring to early summer and again in September. The seed germinates best in darkness and usually within 1 - 2 weeks at 21°c. The plant often self-sows freely."
Hop (EN); Luppolo (IT);,Humulus lupulus,Flowers;,Harvest the flowers (female inflorescences) from summer through to autumn,Dry in the shade and store in airtight containers,Dismenorrea;,https://www.gbif.org/species/2984535,2984535,https://temperate.theferns.info/viewtropical.php?id=Humulus+lupulus,"Skin contact with the plant causes dermatitis in sensitive people. Hops dermatitis has long been recognized. Not only hands and face, but legs have suffered purpuric eruptions due to hop picking. Dislodged hairs from the plant can irritate the eyes.","Hedgerows, woodlands and sunny waste ground",perennial climber,"Easily grown in a good garden soil in sun or semi-shade. Prefers a deep rich loam and a warm sheltered position. Plants can succeed in dry shade if plenty of humus is incorporated into the soil, once established they are also somewhat drought tolerant. Hops are reported to tolerate an annual precipitation of between 31 and 137cm, an annual temperature in the range of 5.6 to 21.3°C and a pH of 4.5 to 8.2. Plants are very hardy tolerating temperatures down to about -20°c when dormant. The young shoots in spring, however, can be damaged by any more than a mild frost. A climbing plant, supporting itself by twining around the branches of other plants. Hops are fairly deep rooted, but with a network of shallow feeding roots. These horizontal feeding roots spread out at depth of 20 - 30 cm in the soil and give rise to fibrous roots in upper layers of soil. The vertical roots develop downwards to a depth of about 150 cm with a spread of 183 - 244 cm and have no fibrous roots. The bruised leaves are refreshingly aromatic whilst the flowers cast a pleasing scent. A food plant for many caterpillars.","Young leaves and young shoots - cooked. The flavour is unique and, to many tastes, delicious. Young leaves can be eaten in salads.  Use before the end of May. The leaves contain rutin. The fleshy rhizomes are sometimes eaten. A tea is made from the leaves and cones.  It has a gentle calming effect. The seeds contain gamma-linolenic acid, an essential fatty acid that is said to have many important functions in the human body and is rarely found in plant sources. The essential oil in the flowering heads is used as a flavouring in cereal beverages and mineral waters. Extracts from the plant, and the oil, are used as flavouring in non-alcoholic beverages, frozen dairy desserts, candy, baked goods and puddings, with the highest average maximum use level of 0.072% reported for an extract used in baked goods.","A fine brown dye is obtained from the leaves and flower heads. A fibre is obtained from the stems; it is used to make a coarse kind of cloth. It is sometimes used for filler material in corrugated paper or board products, but is unsuited for corrugated paper because of low pulp yield and high chemical requirement, or for production of high-grade pulp for speciality paper.  The fibre is very durable but it is difficult to separate, the stems need to be soaked beforehand for a whole winter. A paper can also be made from the fibre, the stems are harvested in the autumn, the leaves removed and the stems steamed until the fibres can be removed. The fibre is cooked for 2 hours with lye and then hand pounded with mallets or ball milled for 2½ hours. The paper is brown in colour.",,"Seed - sow spring in a cold frame. Germination is fairly quick. Prick out the seedlings into individual pots as soon as they are large enough to handle and plant out in the summer or following spring. Division in spring as new growth begins. Very easy, you can plant the divisions straight out into their permanent positions if required. Basal cuttings in early spring. Harvest the shoots when they are about 10 - 15cm long with plenty of underground stem. Pot them up into individual pots and keep them in light shade in a cold frame or greenhouse until they are rooting well. Plant them out in the summer."
