name,disease,scientific_name,vernacular_name,parts,quantity,type,preparation,use,contraindications,medical_recommendations,source,country
DY-07F-achmille-IT,Dysmenorrhea,Achillea millefolium,Yarrow (EN); Achillea millefoglie (IT);,Flowers,15 g,infusion,Prepare an infusion using a ratio of 1 teaspoon of the mixture per cup,Drink two cups per day,,,"Erbe e Salute, AA.VV., Paolo&Giuseppe Rossi Editori, 1980",Italy
DY-07F-achmille-IT,Dysmenorrhea,Artemisia absinthium,Assenzio (IT);,Flowering tops,15 g,infusion,Prepare an infusion using a ratio of 1 teaspoon of the mixture per cup,Drink two cups per day,,,"Erbe e Salute, AA.VV., Paolo&Giuseppe Rossi Editori, 1980",Italy
DY-07F-achmille-IT,Dysmenorrhea,Capsella bursa-pastoris,Shepherd's Purse (EN); Borsa del Pastore (IT);,Plant,15 g,infusion,Prepare an infusion using a ratio of 1 teaspoon of the mixture per cup,Drink two cups per day,,,"Erbe e Salute, AA.VV., Paolo&Giuseppe Rossi Editori, 1980",Italy
DY-07F-achmille-IT,Dysmenorrhea,Calendula officinalis,Pot Marigold (EN); Calendula (IT);,Flowers,15 g,infusion,Prepare an infusion using a ratio of 1 teaspoon of the mixture per cup,Drink two cups per day,,,"Erbe e Salute, AA.VV., Paolo&Giuseppe Rossi Editori, 1980",Italy
DY-07F-achmille-IT,Dysmenorrhea,Humulus lupulus,Hop (EN); Luppolo (IT);,Flowers,10 g,infusion,Prepare an infusion using a ratio of 1 teaspoon of the mixture per cup,Drink two cups per day,,,"Erbe e Salute, AA.VV., Paolo&Giuseppe Rossi Editori, 1980",Italy
DY-07F-achmille-IT,Dysmenorrhea,Melissa officinalis,Lemon Balm (EN); Melissa (IT);,Leaves,15 g,infusion,Prepare an infusion using a ratio of 1 teaspoon of the mixture per cup,Drink two cups per day,,,"Erbe e Salute, AA.VV., Paolo&Giuseppe Rossi Editori, 1980",Italy
DY-07F-achmille-IT,Dysmenorrhea,Salvia officinalis,Sage (EN); Salvia (IT);,Leaves,15 g,infusion,Prepare an infusion using a ratio of 1 teaspoon of the mixture per cup,Drink two cups per day,,,"Erbe e Salute, AA.VV., Paolo&Giuseppe Rossi Editori, 1980",Italy
AM-01R-samnigra-IT,Amenorrhea        ,Sambucus nigra,Elderberry (EN); Ebolo (IT);,Roots,,not specified,,,,,Ferraro G. Botanica Popolare in Carpeneto d’Acqui. Archivio Per Lo Studio Delle Tradizioni Popolari. 1885;IV:165–189. ,Italy
ME-01L-apigrave-IT,Menorrhagia,Apium graveolens,Celery (EN); Sedano (IT);,Leaves,,decoction,,,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
AM-01P-petcrisp-IT,Amenorrhea        ,Petroselinum crispum (Mill.),Parsley (EN); Prezzemolo (IT);,Plant,,infusion,,,,,"Bernoni D.G. Tradizioni Popolari Veneziane. Filippi Editore; Venezia, Italy: 1878. ",Italy
RC-07P-apigrave-IT,To regulate menstrual cycle,Apium graveolens,Celery (EN); Sedano (IT);,Plant (not specified),,decoction,,,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-07P-apigrave-IT,To regulate menstrual cycle,Adiantum capillus-veneris,Capelvenere (IT); Southern maidenhair fern (EN);,Plant (not specified),,decoction,,,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-07P-apigrave-IT,To regulate menstrual cycle,Matricaria chamomilla,Chamomile (EN); Camomilla volgare (IT);,Plant (not specified),,decoction,,,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-07P-apigrave-IT,To regulate menstrual cycle,Malva sylvestris,Common mallow (EN); Malva (IT);,Plant (not specified),,decoction,,,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-07P-apigrave-IT,To regulate menstrual cycle,Lactuca sativa,Lettuce (EN); Lattuga (IT);,Plant (not specified),,decoction,,,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-07P-apigrave-IT,To regulate menstrual cycle,Cichorium intybus,Blue daisy (EN); Cicoria (IT);,Plant (not specified),,decoction,,,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-07P-apigrave-IT,To regulate menstrual cycle,Foeniculum vulgare Mill.,Fennel (EN); Finocchio (IT);,Roots,,decoction,,,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-04L-petcrisp-IT,To regulate menstrual cycle,Petroselinum crispum (Mill.),Parsley (EN); Prezzemolo (IT);,Roots,,decoction,,Drink fasting early in the morning,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-04L-petcrisp-IT,To regulate menstrual cycle,Foeniculum vulgare Mill.,Fennel (EN); Finocchio (IT);,Leaves,,decoction,,Drink fasting early in the morning,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-04L-petcrisp-IT,To regulate menstrual cycle,Malva sylvestris,Common mallow (EN); Malva (IT);,Leaves,,decoction,,Drink fasting early in the morning,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
RC-04L-petcrisp-IT,To regulate menstrual cycle,Matricaria chamomilla,Chamomile (EN); Camomilla volgare (IT);,Flowers,,decoction,,Drink fasting early in the morning,,,"De Nino A. Usi e Costumi Abruzzesi. Tipografia G. Barbera; Firenze, Italy: 1891. ",Italy
MT-01P-petcrisp-IT,Metrorrhagia,Petroselinum crispum (Mill.),Parsley (EN); Prezzemolo (IT);,Plant,,decoction,,,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
AM-01S-pimanisu-IT,Amenorrhea        ,Pimpinella anisum,Anise (EN); Anice (IT);,Seeds,,decoction,,,,,"Ostermann V. La vita in Friuli. Usi, Costumi, Credenze, Pregiudizi e Superstizioni Popolari. Tipografia del Bianco Editore; Udine, Italy: 1894.",Italy
RC-01S-pimanisu-IT,To regulate menstrual cycle,Pimpinella anisum,Anise (EN); Anice (IT);,Seeds,,salad,,Add the aniseed to a fresh vegetable salad ,,,"Coronedi-Berti C. Rivista di Letteratura Popolare. Volume I. Ermanno Loescher Editore; Torino, Italy: 1877. Appunti di medicina Bolognese; pp. 1–12.",Italy
AM-01P-nerolean-IT,Amenorrhea        ,Nerium oleander,Oleander (EN); Oleandro (IT);,Leafs,,topical administration,,Hold under shoes,,,"Zanetti Z. La Medicina Delle Nostre Donne. Lapiti Tipografo Editore; Città di Castello, Italy: 1892. ",Italy
